QUOTE_DATE,ITEM_ID,ITEM_DESC,VALIDITY,SHOP_CODE,PRICE,INDICATOR_BOX,ORIG_INDICATOR_BOX,PRICE_RELATIVE,LOG_PRICE_RELATIVE,STRATUM_WEIGHT,STRATUM_TYPE,START_DATE,END_DATE,REGION,SHOP_TYPE,SHOP_WEIGHT,BASE_PRICE,BASE_VALIDITY,STRATUM_CELL
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,48,14.5,,,1.128,0.121,7.86,1,201802,999999,7,1,1,12.85,3,7
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,81,14.79,,,1.125,0.118,7.86,1,201802,999999,7,1,1,13.15,3,7
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,85,13.9,,,1.104,0.099,7.86,1,201802,999999,7,1,1,12.59,3,7
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,16,13.5,,,1.09,0.086,7.86,1,201802,999999,7,1,1,12.39,3,7
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,10,15.99,,,1.24,0.215,7.86,1,201802,999999,7,2,1,12.9,3,7
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14,,,1.116,0.109,8.09,1,201802,999999,6,1,1,12.55,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,802,13.9,,,1.104,0.099,8.09,1,201802,999999,6,1,1,12.59,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,803,14,,,1.099,0.094,8.09,1,201802,999999,6,1,1,12.74,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,807,14,,,1.089,0.086,8.09,1,201802,999999,6,1,1,12.85,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.4,,,1.101,0.096,8.09,1,201802,999999,6,1,1,12.17,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,941,14,,,1.089,0.086,8.09,1,201802,999999,6,1,1,12.85,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,24,13.39,,,1.081,0.078,8.09,1,201802,999999,6,1,1,12.39,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,44,14.2,,,1.136,0.128,8.09,1,201802,999999,6,1,1,12.5,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,92,13.5,,,1.08,0.077,8.09,1,201802,999999,6,1,1,12.5,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,71,13.5,,,1.08,0.077,8.09,1,201802,999999,6,1,1,12.5,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,1,48,0,T,T,0,0,8.09,1,201802,999999,6,1,1,13.69,3,6
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14,,,1.149,0.139,10.23,1,201802,999999,8,1,1,12.18,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,802,13.9,,,1.144,0.135,10.23,1,201802,999999,8,1,1,12.15,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,803,14,,,1.099,0.094,10.23,1,201802,999999,8,1,1,12.74,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,807,14,,,1.091,0.087,10.23,1,201802,999999,8,1,1,12.83,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.9,,,1.147,0.137,10.23,1,201802,999999,8,1,1,12.12,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,941,14,,,1.089,0.086,10.23,1,201802,999999,8,1,1,12.85,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,11,14,,,1.089,0.086,10.23,1,201802,999999,8,2,1,12.85,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,1,130,0,T,T,0,0,10.23,1,201802,999999,8,1,1,15.65,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,95,14.2,,,1.098,0.094,10.23,1,201802,999999,8,1,1,12.93,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,87,13.5,,,1.052,0.051,10.23,1,201802,999999,8,1,1,12.83,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,1,17,0,T,T,0,0,10.23,1,201802,999999,8,2,1,12.34,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,14,13.5,,,1.08,0.077,10.23,1,201802,999999,8,1,1,12.5,3,8
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14,,,1.116,0.109,10.64,1,201802,999999,9,1,2,12.55,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,802,13.9,,,1.104,0.099,10.64,1,201802,999999,9,1,2,12.59,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,803,14.4,,,1.075,0.072,10.64,1,201802,999999,9,1,1,13.4,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,807,14,,,1.091,0.087,10.64,1,201802,999999,9,1,1,12.83,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.9,,,1.107,0.101,10.64,1,201802,999999,9,1,2,12.56,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,941,14,,,1.089,0.086,10.64,1,201802,999999,9,1,1,12.85,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,1,13.5,,,1.08,0.077,10.64,1,201802,999999,9,1,1,12.5,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,91,13.9,,,1.107,0.102,10.64,1,201810,999999,9,1,1,12.555,4,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,42,13.9,,,1.144,0.135,10.64,1,201802,999999,9,1,1,12.15,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,36,14.05,,,1.089,0.085,10.64,1,201802,999999,9,2,1,12.9,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,35,13.75,,,1.081,0.078,10.64,1,201802,999999,9,2,1,12.72,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,43,13.9,,,1.104,0.099,10.64,1,201802,999999,9,1,1,12.59,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,26,14.2,,,1.092,0.088,10.64,1,201802,999999,9,1,1,13,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,39,14,,,1,0,10.64,1,201802,999999,9,2,1,14,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,83,13.25,,,1.052,0.051,10.64,1,201802,999999,9,1,1,12.59,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,91,13.9,,,1.104,0.099,10.64,1,201802,999999,9,1,1,12.59,3,9
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14,,,1.116,0.109,3.87,1,201802,999999,10,1,1,12.55,3,10
