price,month,year
1080,2,2020
1102,3,2020
1110,4,2020
1112,5,2020
1112,6,2020
1117,7,2020
1115,8,2020
1118,9,2020
1118,10,2020
1120,11,2020
1145,12,2020
1145,1,2021
1144,2,2021
1143,3,2021
1144,4,2021
1139,5,2021
